X Y
 -0.16621 -0.136038
 -0.135064 -0.0769831
 0.0587202 -0.126132
 0.0983323 -0.189831
 0.240575 -0.334117
 0.681803 -0.635532
 11.9212 -7.02634
 -0.0192289 -1.19937
 -0.148146 -0.590656
 -0.190322 -0.370298
 -0.199757 -0.237934
 -0.181524 -0.141729
 -0.143659 -0.0764101
 0.0550547 -0.129755
 0.0970776 -0.202801
 0.258798 -0.378919
 0.843735 -0.818895
 -0.0688514 -1.45163
 -0.185087 -0.651369
 -0.21904 -0.395039
 -0.221759 -0.247222
 -0.196055 -0.142298
 -0.149939 -0.0726263
 0.0519057 -0.135237
 0.102706 -0.227466
 0.305063 -0.457075
 1.2782 -1.25183
 -0.127566 -2.02243
 -0.226901 -0.755038
 -0.251018 -0.436683
 -0.247156 -0.266295
 -0.214668 -0.149194
 -0.159661 -0.0720935
 0.0479195 -0.138241
 0.102774 -0.246084
 0.342597 -0.53802
 2.05352 -2.08276
 -0.253911 -3.25027
 -0.281823 -0.891426
 -0.288921 -0.486277
 -0.276072 -0.288267
 -0.235562 -0.157234
 -0.170525 -0.0718927
 0.043894 -0.14085
 0.103579 -0.26799
 0.395435 -0.64896
 5.36316 -5.61754
 -0.588087 -5.46441
 -0.354003 -1.01732
 -0.333018 -0.525631
 -0.306637 -0.301936
 -0.254674 -0.158742
 -0.177437 -0.0677639
 0.0408413 -0.146718
 0.115838 -0.313276
 0.531837 -0.880606
 -8.73818 -72.1633
 -0.453362 -1.25267
 -0.386032 -0.593233
 -0.343528 -0.32964
 -0.280382 -0.168827
 -0.190416 -0.0680688
 0.0369067 -0.148877
 0.120755 -0.350141
 0.68927 -1.18277
 -0.599625 -1.59986
 -0.450004 -0.675241
 -0.385546 -0.361583
 -0.30923 -0.180553
 -0.205268 -0.0689779
 0.0331282 -0.150693
 0.128107 -0.396655
 0.990119 -1.75396
 -0.832237 -2.153
 -0.527601 -0.775187
 -0.433184 -0.398202
 -0.341391 -0.194042
 -0.222227 -0.0705719
 0.0295653 -0.152193
 0.13879 -0.456493
 1.76176 -3.20897
 -1.24964 -3.1469
 -0.621913 -0.897166
 -0.48669 -0.439734
 -0.376826 -0.209307
 -0.241403 -0.072898
 0.0262718 -0.153405
 0.154043 -0.534858
 7.40674 -13.8166
 -2.18263 -5.37054
 -0.736145 -1.04541
 -0.545814 -0.486005
 -0.415141 -0.226182
 -0.262685 -0.0759477
 0.0232951 -0.154364
 0.175586 -0.639054
 -5.84105 -14.0942
 -0.872746 -1.22317
 -0.609457 -0.536151
 -0.455406 -0.244238
 -0.285608 -0.0796284
 0.0206761 -0.155104
 0.205724 -0.778957
 -1.03154 -1.43024
 -0.675251 -0.588272
 -0.49598 -0.262692
 -0.309228 -0.0837329
 0.0184487 -0.155659
 0.247241 -0.966538
 -1.20643 -1.65864
 -0.739208 -0.639146
 -0.534416 -0.280364
 -0.33204 -0.0879207
 0.0166404 -0.156061
 0.302469 -1.21184
 -1.47678 -2.08322
 -0.815455 -0.723219
 -0.581099 -0.314167
 -0.367909 -0.101613
 0.0147587 -0.149137
 0.281626 -1.22359
 -1.64749 -2.31439
 -0.8601 -0.760097
 -0.606281 -0.32639
 -0.383477 -0.104927
 0.0138842 -0.149132
 0.324126 -1.42598
 -1.74579 -2.44755
 -0.883711 -0.779622
 -0.619406 -0.332778
 -0.391636 -0.106684
 0.0134576 -0.149129
 0.350996 -1.55343
 -1.74033 -2.44015
 -0.882435 -0.778567
 -0.6187 -0.332434
 -0.391197 -0.106589
 0.0134801 -0.149129
 0.349452 -1.54612
 -1.77855 -2.58103
 -0.879605 -0.801855
 -0.618559 -0.345428
 -0.398403 -0.115435
 -0.150399 -0.0146589
 0.242298 -1.13948
 -1.56989 -2.28841
 -0.830695 -0.760122
 -0.591513 -0.331772
 -0.381526 -0.111551
 -0.149651 -0.0154753
 0.214678 -0.994805
 -1.33643 -1.96119
 -0.767377 -0.706197
 -0.555591 -0.313721
 -0.35927 -0.106526
 -0.148794 -0.0167048
 0.185718 -0.841366
 -1.11577 -1.65219
 -0.697058 -0.646472
 -0.514452 -0.293196
 -0.334031 -0.100987
 -0.147962 -0.0183531
 0.16031 -0.704109
 -0.924856 -1.38519
 -0.625808 -0.586184
 -0.471381 -0.271912
 -0.307931 -0.0954896
 -0.147193 -0.0204157
 0.140059 -0.591243
 -3.62271 -9.76545
 -0.766972 -1.16479
 -0.557748 -0.528875
 -0.428883 -0.251174
 -0.282552 -0.0904398
 0.0228756 -0.146451
 0.124799 -0.501981
 11.3207 -23.1608
 -1.55005 -4.28638
 -0.639043 -0.986635
 -0.495173 -0.476507
 -0.388606 -0.231829
 -0.258894 -0.0860875
 0.0257043 -0.145656
 0.11374 -0.432376
 1.84863 -3.69988
 -0.926293 -2.63861
 -0.536031 -0.843622
 -0.439026 -0.42987
 -0.351458 -0.214328
 -0.237459 -0.0825478
 0.0288627 -0.14472
 0.10601 -0.378109
 0.988008 -1.92638
 -0.630391 -1.8578
 -0.452941 -0.728694
 -0.389387 -0.388998
 -0.317801 -0.198835
 -0.218387 -0.0798371
 0.0323028 -0.143562
 0.100849 -0.335459
 0.672084 -1.27115
 -0.459883 -1.40856
 -0.385513 -0.63583
 -0.345858 -0.353513
 -0.287643 -0.185321
 -0.201586 -0.077907
 0.0359691 -0.142116
 0.0976416 -0.301497
 0.511373 -0.934267
 -0.81568 -10.7405
 -0.350171 -1.12002
 -0.330342 -0.560205
 -0.307823 -0.322845
 -0.260782 -0.173642
 -0.186835 -0.0766706
 0.0398004 -0.140333
 0.095907 -0.274002
 0.415914 -0.731043
 108.225 -119.952
 -0.235129 -3.06773
 -0.275581 -0.875913
 -0.284826 -0.480906
 -0.273006 -0.285925
 -0.23336 -0.156373
 -0.16938 -0.0718947
 0.0442964 -0.140607
 0.103457 -0.265623
 0.389228 -0.636059
 4.61563 -4.81964
 -0.119821 -1.94716
 -0.222211 -0.743403
 -0.247575 -0.43219
 -0.244467 -0.264265
 -0.212709 -0.148457
 -0.158641 -0.0721336
 0.0483211 -0.137958
 0.102739 -0.24409
 0.338271 -0.528801
 1.93504 -1.95598
 -0.0646775 -1.41102
 -0.181458 -0.642377
 -0.216122 -0.391247
 -0.219393 -0.245457
 -0.194308 -0.141664
 -0.14902 -0.0726937
 0.0522995 -0.134915
 0.10273 -0.225751
 0.301916 -0.450172
 1.23228 -1.20246
 -0.0465178 -1.03442
 -0.153523 -0.544552
 -0.190778 -0.346473
 -0.196824 -0.221927
 -0.175695 -0.130604
 -0.137909 -0.0706728
 0.0572113 -0.134069
 0.109702 -0.218603
 0.294683 -0.407132
 1.01216 -0.924035
 -0.0242384 -0.851154
 -0.128108 -0.48477
 -0.168045 -0.318147
 -0.177542 -0.20828
 -0.161308 -0.125983
 -0.13037 -0.0718686
 0.060918 -0.130099
 0.109893 -0.203172
 0.270955 -0.355901
 0.792147 -0.694886
 -0.0187465 -0.691674
 -0.111244 -0.423782
 -0.150016 -0.286237
 -0.16031 -0.190599
 -0.14682 -0.117758
 -0.12195 -0.0710219
 0.0643889 -0.125838
 0.116151 -0.196009
 0.267539 -0.325501
 0.706348 -0.577455
 7.88761 -3.98562
 -0.00618759 -0.6012
 -0.0939766 -0.384962
 -0.133027 -0.265832
 -0.14522 -0.180415
 -0.135351 -0.114497
 -0.115613 -0.0723968
 0.067575 -0.121331
 0.116202 -0.182633
 0.250687 -0.28946
 0.599529 -0.469162
 2.83378 -1.36629
 -0.0045427 -0.514448
 -0.0830613 -0.343797
 -0.119803 -0.242202
 -0.131851 -0.166774
 -0.123912 -0.108196
 -0.108908 -0.0721903
 0.0717632 -0.118761
 0.121592 -0.17551
 0.249041 -0.266496
 0.555585 -0.403857
 1.99184 -0.879088
 -0.0707094 -0.317003
 -0.106821 -0.227011
 -0.119888 -0.158936
 -0.114602 -0.10573
 -0.103282 -0.0734168
 0.0742648 -0.113766
 0.121283 -0.163745
 0.236219 -0.239799
 0.492489 -0.341711
 1.39662 -0.584848
 -0.0601939 -0.293963
 -0.0954157 -0.213528
 -0.109158 -0.1518
 -0.106076 -0.103378
 -0.0978369 -0.074407
 0.0763993 -0.108727
 0.120935 -0.152999
 0.225411 -0.217067
 0.444254 -0.293929
 1.0829 -0.429385
 -0.0542671 -0.268412
 -0.0869023 -0.19738
 -0.0998744 -0.141932
 -0.0978266 -0.0986912
 -0.092596 -0.0743549
 0.0796419 -0.105525
 0.124993 -0.146501
 0.225107 -0.201334
 0.42496 -0.260304
 0.951678 -0.341353
 11.4627 -1.4454
 -0.0464614 -0.251662
 -0.0780741 -0.187019
 -0.091325 -0.136223
 -0.0908268 -0.0966868
 -0.0876709 -0.0749711
 0.0810229 -0.100455
 0.124169 -0.13707
 0.21623 -0.183741
 0.391698 -0.228562
 0.804899 -0.272111
 3.64885 -0.399649
 -0.0397675 -0.237058
 -0.0703257 -0.177753
 -0.0836862 -0.130967
 -0.0844368 -0.0947032
 -0.0829699 -0.0753319
 0.0820634 -0.0955501
 0.123264 -0.128477
 0.208481 -0.168497
 0.364632 -0.202719
 0.701576 -0.223312
 2.20799 -0.206712
 -0.0340334 -0.224319
 -0.0635461 -0.169476
 -0.0768889 -0.126134
 -0.0786321 -0.0927447
 -0.0785284 -0.0754592
 0.0827927 -0.0908674
 0.122282 -0.120675
 0.201671 -0.155259
 0.342314 -0.181437
 0.625447 -0.187343
 1.60566 -0.126042
 -0.0291343 -0.213222
 -0.0576405 -0.162102
 -0.0708738 -0.121705
 -0.0733942 -0.0908255
 -0.0743804 -0.0753831
 0.0832474 -0.0864583
 0.121239 -0.113632
 0.195664 -0.143769
 0.323741 -0.163781
 0.567542 -0.159999
 1.27755 -0.0821224
 -0.0249662 -0.203587
 -0.052527 -0.155569
 -0.065589 -0.117673
 -0.068708 -0.0889667
 -0.070557 -0.0751403
 0.0834699 -0.0823677
 0.120159 -0.107325
 0.190366 -0.133824
 0.308207 -0.149078
 0.522522 -0.138769
 1.07328 -0.0548216
 -0.0214421 -0.195273
 -0.0481346 -0.149825
 -0.0609887 -0.114036
 -0.0645605 -0.0871948
 -0.0670852 -0.0747713
 0.0835059 -0.078634
 0.119073 -0.101733
 0.185713 -0.125265
 0.295198 -0.136837
 0.487023 -0.122065
 0.935749 -0.0364865
 -0.018489 -0.188164
 -0.0444017 -0.144832
 -0.057032 -0.1108
 -0.0609397 -0.0855391
 -0.0639873 -0.0743189
 0.0834024 -0.0752885
 0.118013 -0.0968428
 0.181661 -0.117966
 0.284341 -0.126685
 0.458832 -0.108836
 0.838565 -0.0235749
 -0.0160459 -0.182169
 -0.041275 -0.140558
 -0.0536827 -0.107971
 -0.0578342 -0.0840299
 -0.0612808 -0.0738255
 0.0832053 -0.0723558
 0.117014 -0.0926401
 0.178182 -0.111827
 0.275359 -0.118343
 0.436447 -0.0983645
 0.767905 -0.0142262
 -0.0118305 -0.180288
 -0.0375071 -0.13936
 -0.0503949 -0.107413
 -0.0550693 -0.0838812
 -0.0585432 -0.0733834
 0.0816032 -0.0687819
 0.113131 -0.0877532
 0.170401 -0.105863
 0.260488 -0.111905
 0.405875 -0.092836
 0.686948 -0.0166224
 -0.0103078 -0.176228
 -0.0354861 -0.136397
 -0.0481711 -0.105369
 -0.0529463 -0.082698
 -0.0566473 -0.0728923
 0.0813501 -0.0667577
 0.112412 -0.0849599
 0.168172 -0.101897
 0.255009 -0.106672
 0.393062 -0.0865575
 0.65175 -0.0112894
 -0.00692071 -0.176101
 -0.0327368 -0.13642
 -0.0459282 -0.105559
 -0.0511168 -0.0829005
 -0.0547612 -0.0725575
 0.0798715 -0.0641997
 0.109065 -0.0815587
 0.161979 -0.0980609
 0.244047 -0.103067
 0.372386 -0.084446
 0.603908 -0.0154864
 -0.0061475 -0.173877
 -0.0316774 -0.134774
 -0.0447381 -0.104391
 -0.0499562 -0.0821884
 -0.0537091 -0.0722252
 0.0796883 -0.0630912
 0.108665 -0.0800676
 0.160827 -0.0959776
 0.241294 -0.100359
 0.366185 -0.0812653
 0.588143 -0.0127902
 -0.00341024 -0.17552
 -0.0298103 -0.136093
 -0.0434648 -0.105467
 -0.0490583 -0.082914
 -0.0526994 -0.0721551
 0.0795722 -0.0624338
 0.105812 -0.0779927
 0.155918 -0.093961
 0.2333 -0.09908
 0.352375 -0.0817904
 0.559468 -0.0184679
 -0.00327598 -0.175108
 -0.0296214 -0.135786
 -0.0432495 -0.105246
 -0.0488454 -0.0827755
 -0.0525051 -0.072087
 0.079535 -0.0622295
 0.105741 -0.0777258
 0.155719 -0.0935899
 0.232828 -0.0985989
 0.351327 -0.081227
 0.556899 -0.0179768
 -0.00106349 -0.178613
 -0.0285496 -0.138492
 -0.0429017 -0.10732
 -0.048882 -0.0841494
 -0.0523863 -0.0723873
 0.0784315 -0.0615573
 0.103317 -0.0768547
 0.151851 -0.0932009
 0.227195 -0.0993918
 0.342744 -0.0840961
 0.541348 -0.0252835
